Plate,Well,BirdID,Sex,PairID,Treatment,NormCopyNumber,Target
1,F06,B195,F,H4,40_deg,1.35480595,HSP60
1,F07,B368,M,L4,30_deg,1.680730404,HSP60
1,F08,B368,M,L4,30_deg,1.503839856,HSP60
1,F09,B368,M,L4,30_deg,1.638705662,HSP60
1,F10,B336,F,H10,40_deg,2.128933158,HSP60
1,F11,B336,F,H10,40_deg,2.113285699,HSP60
1,F12,B336,F,H10,40_deg,2.245155117,HSP60
1,G04,B388,F,L14,30_deg,1.736244627,HSP60
1,G05,B388,F,L14,30_deg,1.596724102,HSP60
1,G06,B388,F,L14,30_deg,1.759048414,HSP60
1,G07,B234,F,H16,40_deg,1.014122219,HSP60
1,G08,B234,F,H16,40_deg,0.957030346,HSP60
1,G09,B234,F,H16,40_deg,0.859159465,HSP60
1,G10,B367,F,L2,30_deg,1.618659776,HSP60
1,G11,B367,F,L2,30_deg,1.613202684,HSP60
1,G12,B367,F,L2,30_deg,1.803472982,HSP60
1,H04,B302,F,H12,40_deg,2.64167232,HSP60
1,H05,B302,F,H12,40_deg,2.7042098,HSP60
1,H06,B302,F,H12,40_deg,2.878903743,HSP60
1,H07,B369,F,L4,30_deg,1.114609489,HSP60
1,H08,B369,F,L4,30_deg,1.086509474,HSP60
1,H09,B369,F,L4,30_deg,1.113236373,HSP60
1,H10,B362,M,H2,40_deg,1.836783944,HSP60
1,H11,B362,M,H2,40_deg,1.836386459,HSP60
1,H12,B362,M,H2,40_deg,1.934373002,HSP60
2,A04,B361,F,H2,40_deg,4.150592534,HSP60
2,A05,B361,F,H2,40_deg,4.140767738,HSP60
2,A06,B361,F,H2,40_deg,4.515259508,HSP60
2,B04,B175,M,L16,30_deg,0.988030637,HSP60
2,B05,B175,M,L16,30_deg,1.026229397,HSP60
2,B06,B175,M,L16,30_deg,0.93830044,HSP60
2,C04,B363,M,H4,40_deg,2.486585379,HSP60
2,C05,B363,M,H4,40_deg,2.507666647,HSP60
2,C06,B363,M,H4,40_deg,2.478589124,HSP60
2,D04,B370,F,L8,30_deg,0.673328295,HSP60
2,D05,B370,F,L8,30_deg,0.644072822,HSP60
2,D06,B370,F,L8,30_deg,0.660058683,HSP60
2,E04,B402,M,H14,40_deg,1.357395352,HSP60
2,E05,B402,M,H14,40_deg,1.280456131,HSP60
2,E06,B402,M,H14,40_deg,1.235385254,HSP60
2,F04,B287,F,L10,30_deg,1.522319137,HSP60
2,F05,B287,F,L10,30_deg,1.596542471,HSP60
2,F06,B287,F,L10,30_deg,1.551932277,HSP60
2,G04,B169,M,H10,40_deg,2.767697692,HSP60
2,G05,B169,M,H10,40_deg,2.615682017,HSP60
2,G06,B169,M,H10,40_deg,2.901251908,HSP60
1,A04,B230,M,L12,30_deg,3.276722133,APTX
1,A05,B230,M,L12,30_deg,3.437157635,APTX
1,A06,B230,M,L12,30_deg,3.184663326,APTX
1,A07,B364,F,H6,40_deg,0.912218347,APTX
1,A08,B364,F,H6,40_deg,0.828212111,APTX
1,A09,B364,F,H6,40_deg,0.816895694,APTX
1,A10,B221,M,L2,30_deg,1.975654288,APTX
1,A11,B221,M,L2,30_deg,2.095681999,APTX
1,A12,B221,M,L2,30_deg,1.924057532,APTX
1,B04,B193,F,H14,40_deg,1.565964534,APTX
1,B05,B193,F,H14,40_deg,1.511994877,APTX
1,B06,B193,F,H14,40_deg,1.664108159,APTX
1,B07,B372,M,L10,30_deg,1.540656592,APTX
1,B08,B372,M,L10,30_deg,1.535106373,APTX
1,B09,B372,M,L10,30_deg,1.509266557,APTX
1,B10,B275,M,H8,40_deg,1.265653161,APTX
1,B11,B275,M,H8,40_deg,1.377705402,APTX
