Plate,Well,Fluor,Target,Content,Sample,BirdID,Sex,DateOfSampling,Cq,Cq Mean,Cq_Diff,Cq Std. Dev,CqMin,CqMax,SQ Std. Dev,Starting Quantity (SQ),Dilution Factor,Copy_Number
1,D10,HEX,EEF2,Unkn-20,Hot,,,,33.86237254,34.33600941,0.473636873,1.674147114,32.6618623,36.01015653,18.53981883,41.35986015,5,206.7993007
1,D11,HEX,EEF2,Unkn-20,Hot,,,,34.80964629,34.33600941,0.473636873,1.674147114,32.6618623,36.01015653,18.53981883,21.42569338,5,107.1284669
1,E04,HEX,EEF2,Unkn-05,Cool,24507,F,1/16/2018,30.93127962,31.27558292,0.344303295,0.357956784,30.91762613,31.6335397,61.90199925,316.5416619,5,1582.70831
1,E05,HEX,EEF2,Unkn-05,Cool,24507,F,1/16/2018,31.24968283,31.27558292,0.025900089,0.357956784,30.91762613,31.6335397,61.90199925,253.7572638,5,1268.786319
1,E06,HEX,EEF2,Unkn-05,Cool,24507,F,1/16/2018,31.6457863,31.27558292,0.370203383,0.357956784,30.91762613,31.6335397,61.90199925,192.7418763,5,963.7093815
1,E07,HEX,EEF2,Unkn-13,Cool,90591,F,1/2/2018,32.17260665,32.19074897,0.018142328,0.100452562,32.09029641,32.29120153,9.132906859,133.6955241,5,668.4776205
1,E08,HEX,EEF2,Unkn-13,Cool,90591,F,1/2/2018,32.10060391,32.19074897,0.09014506,0.100452562,32.09029641,32.29120153,9.132906859,140.5493428,5,702.746714
1,E09,HEX,EEF2,Unkn-13,Cool,90591,F,1/2/2018,32.29903636,32.19074897,0.108287388,0.100452562,32.09029641,32.29120153,9.132906859,122.4595947,5,612.2979736
1,E11,HEX,EEF2,Unkn-21,Cool,23868,M,1/3/2018,32.85918307,32.88065892,0.021475851,0.442634276,32.43802465,33.3232932,33.15058546,83.00117792,5,415.0058896
1,E12,HEX,EEF2,Unkn-21,Cool,23868,M,1/3/2018,32.90213477,32.88065892,0.021475851,0.442634276,32.43802465,33.3232932,33.15058546,80.56241053,5,402.8120526
1,F04,HEX,EEF2,Unkn-06,Cool,90583,M,1/4/2018,31.96047457,31.85080785,0.109666716,0.097980837,31.75282702,31.94878869,11.21813541,154.9115865,5,774.5579324
1,F05,HEX,EEF2,Unkn-06,Cool,90583,M,1/4/2018,31.82006086,31.85080785,0.030746994,0.097980837,31.75282702,31.94878869,11.21813541,170.775173,5,853.8758648
