Plate,Well,Fluor,Target,Content,Sample,BirdID,Sex,PairID,Cq,Cq Mean,Cq_Diff,Cq Std. Dev,SQ Std. Dev,Starting Quantity (SQ),Dilution Factor,Copy_Number
1,G04,FAM,APTX,Unkn-19,30_deg,B388,F,L14,32.13451264,32.1510149,0.01650226,0.135329889,15938.69536,184941.7723,5,924708.8614
1,G05,FAM,APTX,Unkn-19,30_deg,B388,F,L14,32.29383919,32.1510149,0.14282429,0.135329889,15938.69536,166806.2264,5,834031.1322
1,G06,FAM,APTX,Unkn-19,30_deg,B388,F,L14,32.02469287,32.1510149,0.12632203,0.135329889,15938.69536,198577.5786,5,992887.8931
1,G07,FAM,APTX,Unkn-20,40_deg,B234,F,H16,31.34033746,31.40478424,0.064446786,0.123132282,23152.78809,309355.2025,5,1546776.013
1,G08,FAM,APTX,Unkn-20,40_deg,B234,F,H16,31.32725101,31.40478424,0.077533237,0.123132282,23152.78809,311988.7885,5,1559943.943
1,G09,FAM,APTX,Unkn-20,40_deg,B234,F,H16,31.54676426,31.40478424,0.141980022,0.123132282,23152.78809,270635.1006,5,1353175.503
1,G10,FAM,APTX,Unkn-21,30_deg,B367,F,L2,32.67702578,32.64190154,0.03512424,0.05915589,5159.354555,130140.2895,5,650701.4474
1,G11,FAM,APTX,Unkn-21,30_deg,B367,F,L2,32.57360349,32.64190154,0.068298055,0.05915589,5159.354555,139157.682,5,695788.4098
1,G12,FAM,APTX,Unkn-21,30_deg,B367,F,L2,32.67507536,32.64190154,0.033173816,0.05915589,5159.354555,130304.818,5,651524.0902
1,H04,FAM,APTX,Unkn-22,40_deg,B302,F,H12,31.10333828,31.31219414,0.208855858,0.216216528,44004.73358,360687.872,5,1803439.36
1,H05,FAM,APTX,Unkn-22,40_deg,B302,F,H12,31.53508729,31.31219414,0.222893156,0.216216528,44004.73358,272689.9692,5,1363449.846
1,H06,FAM,APTX,Unkn-22,40_deg,B302,F,H12,31.29815684,31.31219414,0.014037298,0.216216528,44004.73358,317924.4612,5,1589622.306
1,H07,FAM,APTX,Unkn-23,30_deg,B369,F,L4,32.04515246,32.05028247,0.005130011,0.054173653,6838.826901,195963.1394,5,979815.6971
1,H08,FAM,APTX,Unkn-23,30_deg,B369,F,L4,32.10683865,32.05028247,0.05655618,0.054173653,6838.826901,188287.0439,5,941435.2195
1,H09,FAM,APTX,Unkn-23,30_deg,B369,F,L4,31.9988563,32.05028247,0.051426168,0.054173653,6838.826901,201929.0107,5,1009645.053
1,H10,FAM,APTX,Unkn-24,40_deg,B362,M,H2,31.41918353,31.55719758,0.138014055,0.202639851,34118.35363,293951.6799,5,1469758.399
1,H11,FAM,APTX,Unkn-24,40_deg,B362,M,H2,31.46256782,31.55719758,0.094629764,0.202639851,34118.35363,285805.6448,5,1429028.224
1,H12,FAM,APTX,Unkn-24,40_deg,B362,M,H2,31.7898414,31.55719758,0.232643819,0.202639851,34118.35363,231206.5416,5,1156032.708
1,A04,HEX,EEF2,Unkn-01,30_deg,B230,M,L12,27.93326567,27.97210008,0.038834414,0.036387835,6211.930372,271948.986,5,1359744.93
1,A05,HEX,EEF2,Unkn-01,30_deg,B230,M,L12,27.97762518,27.97210008,0.005525097,0.036387835,6211.930372,264315.2089,5,1321576.045
1,A06,HEX,EEF2,Unkn-01,30_deg,B230,M,L12,28.0054094,27.97210008,0.033309317,0.036387835,6211.930372,259643.3801,5,1298216.9
1,A07,HEX,EEF2,Unkn-02,40_deg,B364,F,H6,26.80028306,26.85809921,0.057816142,0.051889065,18184.47073,562740.6617,5,2813703.308
1,A08,HEX,EEF2,Unkn-02,40_deg,B364,F,H6,26.87338945,26.85809921,0.015290239,0.051889065,18184.47073,536944.9563,5,2684724.781
1,A09,HEX,EEF2,Unkn-02,40_deg,B364,F,H6,26.90062511,26.85809921,0.042525904,0.051889065,18184.47073,527640.0813,5,2638200.407
1,A10,HEX,EEF2,Unkn-03,30_deg,B221,M,L2,27.56073692,27.62951155,0.068774631,0.10861085,22600.69672,345406.4746,5,1727032.373
1,A11,HEX,EEF2,Unkn-03,30_deg,B221,M,L2,27.57307566,27.62951155,0.056435889,0.10861085,22600.69672,342681.7914,5,1713408.957
1,A12,HEX,EEF2,Unkn-03,30_deg,B221,M,L2,27.75472207,27.62951155,0.125210519,0.10861085,22600.69672,304969.7609,5,1524848.805
1,B04,HEX,EEF2,Unkn-04,40_deg,B193,F,H14,29.43263887,29.303524,0.129114873,0.115655971,8258.053164,103880.6308,5,519403.154
1,B05,HEX,EEF2,Unkn-04,40_deg,B193,F,H14,29.20941465,29.303524,0.094109352,0.115655971,8258.053164,119883.3073,5,599416.5367
1,B06,HEX,EEF2,Unkn-04,40_deg,B193,F,H14,29.26851848,29.303524,0.035005521,0.115655971,8258.053164,115420.6248,5,577103.1238
1,B07,HEX,EEF2,Unkn-05,30_deg,B372,M,L10,27.23783302,27.24828044,0.010447419,0.053064298,14310.65215,424952.6019,5,2124763.009
1,B08,HEX,EEF2,Unkn-05,30_deg,B372,M,L10,27.30579142,27.24828044,0.057510977,0.053064298,14310.65215,406815.014,5,2034075.07
1,B09,HEX,EEF2,Unkn-05,30_deg,B372,M,L10,27.20121688,27.24828044,0.047063558,0.053064298,14310.65215,435058.1456,5,2175290.728
1,B10,HEX,EEF2,Unkn-06,40_deg,B275,M,H8,27.73800344,27.72179033,0.016213103,0.0500248,10073.04175,308259.9667,5,1541299.834
1,B11,HEX,EEF2,Unkn-06,40_deg,B275,M,H8,27.66566991,27.72179033,0.056120426,0.0500248,10073.04175,322909.0545,5,1614545.273
1,B12,HEX,EEF2,Unkn-06,40_deg,B275,M,H8,27.76169766,27.72179033,0.039907322,0.0500248,10073.04175,303607.3791,5,1518036.895
1,C04,HEX,EEF2,Unkn-07,30_deg,B371,M,L8,30.01506639,30.04364009,0.0285737,0.049548807,2211.827112,71479.56548,5,357397.8274
1,C05,HEX,EEF2,Unkn-07,30_deg,B371,M,L8,30.01499977,30.04364009,0.028640322,0.049548807,2211.827112,71482.62208,5,357413.1104
1,C06,HEX,EEF2,Unkn-07,30_deg,B371,M,L8,30.10085411,30.04364009,0.057214022,0.049548807,2211.827112,67650.09776,5,338250.4888
1,C07,HEX,EEF2,Unkn-08,40_deg,B390,M,H16,27.09635697,27.06274641,0.033610556,0.032940572,10047.59438,465347.2865,5,2326736.432
1,C08,HEX,EEF2,Unkn-08,40_deg,B390,M,H16,27.06136285,27.06274641,0.001383568,0.032940572,10047.59438,475917.7011,5,2379588.506
1,C09,HEX,EEF2,Unkn-08,40_deg,B390,M,H16,27.03051942,27.06274641,0.032226989,0.032940572,10047.59438,485433.2441,5,2427166.22
1,C10,HEX,EEF2,Unkn-09,30_deg,B403,F,L16,28.88503577,28.99678883,0.11175306,0.200984327,17115.48829,147631.7911,5,738158.9554
1,C11,HEX,EEF2,Unkn-09,30_deg,B403,F,L16,28.87651729,28.99678883,0.120271533,0.200984327,17115.48829,148441.1901,5,742205.9505
1,C12,HEX,EEF2,Unkn-09,30_deg,B403,F,L16,29.22881342,28.99678883,0.232024593,0.200984327,17115.48829,118399.8836,5,591999.4181
1,D04,HEX,EEF2,Unkn-10,40_deg,B191,F,H8,27.17919286,27.19753015,0.018337285,0.055693187,15469.6741,441251.8491,5,2206259.246
1,D05,HEX,EEF2,Unkn-10,40_deg,B191,F,H8,27.15331771,27.19753015,0.044212431,0.055693187,15469.6741,448641.3306,5,2243206.653
