Plate,Well,Fluor,Target,Content,Sample,BirdID,Sex,DateOfSampling,JulianDate,Cq,Cq Mean,Cq_Diff,Cq Std. Dev,CqMin,CqMax,SQ Std. Dev,Starting Quantity (SQ),Dilution Factor,Copy_Number
1,C09,HEX,EEF2,Unkn-11,Cool,23866,F,1/3/2018,,36.08593483,35.9740622,0.111872631,0.238160773,35.73590143,36.21222298,1.464916803,7.773603912,5,38.86801956
1,C10,HEX,EEF2,Unkn-19,Cool,23869,M,1/4/2018,,34.76860543,34.71960647,0.048998953,0.252410767,34.46719571,34.97201724,3.651677605,19.46509537,5,97.32547684
1,C11,HEX,EEF2,Unkn-19,Cool,23869,M,1/4/2018,,34.44628875,34.71960647,0.273317728,0.252410767,34.46719571,34.97201724,3.651677605,24.36643939,5,121.8321969
1,C12,HEX,EEF2,Unkn-19,Cool,23869,M,1/4/2018,,34.94392525,34.71960647,0.224318775,0.252410767,34.46719571,34.97201724,3.651677605,17.22675169,5,86.13375846
1,D05,HEX,EEF2,Unkn-04,Hot,23616,F,1/22/2018,,31.57183003,31.64778893,0.075958902,1.322028811,30.32576012,32.96981774,387.3360464,180.5617033,5,902.8085167
1,D06,HEX,EEF2,Unkn-04,Hot,23616,F,1/22/2018,,31.72374783,31.64778893,0.075958902,1.322028811,30.32576012,32.96981774,387.3360464,162.4254706,5,812.127353
1,D07,HEX,EEF2,Unkn-12,Hot,90532,F,1/8/2018,,28.98589709,29.24541475,0.259517656,0.228141608,29.01727314,29.47355635,151.6404945,1094.331927,5,5471.659636
1,D08,HEX,EEF2,Unkn-12,Hot,90532,F,1/8/2018,,29.41437221,29.24541475,0.16895746,0.228141608,29.01727314,29.47355635,151.6404945,811.8749958,5,4059.374979
1,D09,HEX,EEF2,Unkn-12,Hot,90532,F,1/8/2018,,29.33597494,29.24541475,0.090560196,0.228141608,29.01727314,29.47355635,151.6404945,857.4578649,5,4287.289325
1,D10,HEX,EEF2,Unkn-20,Hot,23685,F,1/8/2018,,35.27376705,35.34613401,0.072366964,0.231431395,35.11470262,35.57756541,2.037310542,13.6895981,5,68.44799052
1,D11,HEX,EEF2,Unkn-20,Hot,23685,F,1/8/2018,,35.6051016,35.34613401,0.258967587,0.231431395,35.11470262,35.57756541,2.037310542,10.86741583,5,54.33707916
1,D12,HEX,EEF2,Unkn-20,Hot,23685,F,1/8/2018,,35.15953339,35.34613401,0.186600623,0.231431395,35.11470262,35.57756541,2.037310542,14.82377083,5,74.11885416
1,E04,HEX,EEF2,Unkn-05,Cool,24507,F,1/16/2018,,31.66144323,31.76976341,0.108320184,0.114874602,31.65488881,31.88463802,12.52818217,169.6320817,5,848.1604085
1,E05,HEX,EEF2,Unkn-05,Cool,24507,F,1/16/2018,,31.89022756,31.76976341,0.120464145,0.114874602,31.65488881,31.88463802,12.52818217,144.6358905,5,723.1794524
1,E06,HEX,EEF2,Unkn-05,Cool,24507,F,1/16/2018,,31.75761945,31.76976341,0.012143961,0.114874602,31.65488881,31.88463802,12.52818217,158.6369378,5,793.1846892
1,E07,HEX,EEF2,Unkn-13,Cool,90591,F,1/2/2018,,33.36460097,33.55492402,0.190323044,0.167552284,33.38737173,33.7224763,5.459795508,51.77489275,5,258.8744638
1,E08,HEX,EEF2,Unkn-13,Cool,90591,F,1/2/2018,,33.61997537,33.55492402,0.065051359,0.167552284,33.38737173,33.7224763,5.459795508,43.33521212,5,216.6760606
1,E09,HEX,EEF2,Unkn-13,Cool,90591,F,1/2/2018,,33.6801957,33.55492402,0.125271686,0.167552284,33.38737173,33.7224763,5.459795508,41.55447379,5,207.772369
1,E10,HEX,EEF2,Unkn-21,Cool,23868,M,1/3/2018,,33.96095656,33.97328241,0.012325848,0.069051363,33.90423105,34.04233377,1.620616704,34.17097462,5,170.8548731
1,E11,HEX,EEF2,Unkn-21,Cool,23868,M,1/3/2018,,34.04766664,33.97328241,0.074384225,0.069051363,33.90423105,34.04233377,1.620616704,32.16756766,5,160.8378383
